ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,28917.4215,8:01:57,25437.78,31198.98,25329.73,25350.8,15056.15,698527.65,0
heart1k_v2,7975.9817,2:12:55,24724.57,29888.21,24660.5,24665.08,7537.35,129820.31,0
heart1k_v3,9475.2678,2:37:55,24706.96,31670.85,24644,24648.62,7316,136185.33,0
hgmm10k_v3,77436.104,21:30:36,28097.85,36840.63,28032,28057.38,171368.86,1310562.59,0
hgmm1k_v2,8998.589,2:29:58,28105.82,33555.82,28041.39,28046.28,23531.22,126632.22,0
hgmm1k_v3,9669.6447,2:41:09,31272.76,42778,31055.64,31073.73,7689.91,113153.02,0
neuron10k_v3,32274.131,8:57:54,24693.28,32657.02,24628.22,24638.95,63354.91,577876.74,0
pbmc10k_v3,60076.8842,16:41:16,27195.7,33254.45,27131.38,27145.27,211957.46,1022072.32,0
pbmc1k_v3,7959.0918,2:12:39,27185.5,32235.21,27122.18,27138.13,22109.65,108460.33,0
SRR6956073_v2,10494.6267,2:54:54,15735.66,22263.92,15625.73,15633.55,3.25,199785.57,0
SRR6998058_v2,4257.7681,1:10:57,24738.99,29697.41,24674.79,24683.3,14403.77,76247.66,0
SRR7299563_v2,9727.7973,2:42:07,18987.68,24647.55,18924.99,18934.31,37.64,181704.69,0
SRR8206317_v2,9325.1202,2:35:25,32004.96,38304.26,31895.91,31904.42,1590.35,154105.77,0
SRR8257100_v2,16336.2495,4:32:16,15437.4,21939.57,15327.37,15348.2,12107.95,330089.6,0
SRR8327928_v2,16455.7466,4:34:15,27248.29,32275.27,27186.3,27192.55,37950.65,328364.23,0
SRR8513910_v2,11258.5002,3:07:38,17938.65,24000.06,17828.05,17845.47,19884.05,271850.91,0
SRR8524760_v2,7589.6924,2:06:29,27261.85,32314.61,27200.65,27226.02,11112.07,158232.1,0
SRR8599150_v2,1851.9085,0:30:51,24663.79,29055.84,24598.51,24612.75,3799.61,17902.07,0
SRR8611943_v2,2376.0257,0:39:36,15777.7,21602.93,15669.71,15690.1,2080.64,29161.47,0
SRR8639063_v2,31886.9967,8:51:26,31704.22,37957.02,31594.59,31619.24,46515.82,617507.75,0
