ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,858.4222,0:14:18,3539.6,4050.52,3539.04,3539.05,42655.92,8303.46,0
heart1k_v2,248.4276,0:04:08,3482.91,4050.52,3482.36,3482.37,7105.68,1812.71,0
heart1k_v3,148.7628,0:02:28,3484.35,4050.52,3483.73,3483.74,5137.18,1659.21,0
hgmm10k_v3,1196.0188,0:19:56,7334.77,7808.28,7334.24,7334.25,49292.68,15885.07,0
hgmm1k_v2,153.7772,0:02:33,7264.75,7808.28,7264.14,7264.15,9413.05,1632.67,0
hgmm1k_v3,132.7031,0:02:12,7259.55,7808.28,7259.21,7259.22,3330.27,1117.55,0
neuron10k_v3,572.6586,0:09:32,3505.81,4050.52,3505.08,3505.09,22783.7,6997.77,0
pbmc10k_v3,1070.6032,0:17:50,3749.18,4226.12,3748.51,3748.52,47508.38,11287.96,0
pbmc1k_v3,126.6774,0:02:06,3666.96,4220.12,3666.62,3666.63,4058.87,1034.66,0
SRR6956073_v2,245.6956,0:04:05,3412.04,3938.62,3411.36,3411.36,11680.19,3159.89,0
SRR6998058_v2,95.8365,0:01:35,3487.39,4050.52,3486.92,3486.93,3273.41,687.82,0
SRR7299563_v2,213.7662,0:03:33,1815.39,2355.86,1814.84,1814.85,10125.17,1869.13,0
SRR8206317_v2,136.2498,0:02:16,3540.11,4066.43,3539.9,3539.91,5386.24,2119.79,0
SRR8257100_v2,480.6154,0:08:00,1781.16,2352.03,1780.57,1780.58,19537.25,5290.89,0
SRR8327928_v2,391.4077,0:06:31,3748.34,4220.12,3747.61,3747.62,17747.71,3559.34,0
SRR8513910_v2,413.51,0:06:53,1713.27,2297.34,1712.62,1712.63,16641.86,4074.72,0
SRR8524760_v2,199.0091,0:03:19,3704.12,4220.12,3703.4,3703.41,7337.15,2161.09,0
SRR8599150_v2,37.1422,0:00:37,3463.14,4050.52,3462.59,3462.6,194.32,10.45,0
SRR8611943_v2,53.7781,0:00:53,979.66,1518.8,979.09,979.09,1975.78,432.77,0
SRR8639063_v2,843.4773,0:14:03,3663.65,4126.76,3663,3663.01,23744.45,10624.35,0
