ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,257.9683,0:04:17,3399.98,3615.12,3394.33,3394.91,0,7465.42,0
heart1k_v2,56.5517,0:00:56,3343.18,3502.8,3337.96,3338.42,0,447.87,0
heart1k_v3,256.7869,0:04:16,11713.81,12717.12,11708.72,11709.22,110.22,0,0
hgmm10k_v3,783.4384,0:13:03,12083.73,13104.45,12078.41,12078.98,0,16577.28,0
hgmm1k_v2,61.5534,0:01:01,3693.01,3930.08,3687.44,3687.94,18.08,1274.84,0
hgmm1k_v3,254.8654,0:04:14,12011.44,13037.42,12006.28,12006.78,0,665.31,0
neuron10k_v3,470.109,0:07:50,10906.52,11758.91,10901.01,10901.59,0.05,6201.31,0
pbmc10k_v3,533.5196,0:08:53,11490.75,12876.86,11699.28,11699.85,6.48,9584.68,0
pbmc1k_v3,284.5916,0:04:44,11790.64,12827.68,11812.16,11812.74,0,0,0
SRR6956073_v2,88.6416,0:01:28,3331.52,3546.49,3325.96,3326.54,2.57,2223.19,0
SRR6998058_v2,35.5582,0:00:35,3389.85,3606.48,3384.6,3385.1,11.94,0,0
SRR7299563_v2,54.2647,0:00:54,3301.65,3514.38,3296.29,3296.86,1.81,755.71,0
SRR8206317_v2,80.2414,0:01:20,3388.94,3606.31,3383.73,3384.21,0.02,1888.96,0
SRR8257100_v2,165.6262,0:02:45,3309.98,3520.63,3304.32,3304.9,1.21,5289.82,0
SRR8327928_v2,125.5003,0:02:05,3517.45,3738.05,3511.79,3512.28,0,3170.79,0
SRR8513910_v2,80.8037,0:01:20,3294.85,3504.93,3289.29,3289.88,0.89,1069.55,0
SRR8524760_v2,57.5854,0:00:57,3493.86,3717.28,3488.47,3489.05,0,756.82,0
SRR8599150_v2,26.8666,0:00:26,3386.23,3603.15,3380.86,3381.44,0,0,0
SRR8611943_v2,39.2758,0:00:39,3292.66,3503.36,3287.36,3287.94,0.8,0,0
SRR8639063_v2,258.5717,0:04:18,3405.4,3620.27,3399.79,3400.28,0,8484,0
