ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,6507.6094,1:48:27,11284.96,14356.68,11279.79,11281.29,42655.83,227.75,0
heart1k_v2,1417.9117,0:23:37,4652.29,7026.18,4647.29,4648.79,0,72.73,0
heart1k_v3,2624.0763,0:43:44,5874.41,8330.18,5871.28,5872.78,0,122.97,0
hgmm10k_v3,65026.0188,18:03:46,40454.5,46519.68,40452.22,40452.28,0.11,2469.11,0
hgmm1k_v2,3784.2365,1:03:04,10607.34,15619.18,10601.9,10603.54,0,332.43,0
hgmm1k_v3,6048.2269,1:40:48,11119.77,16329.18,11114.66,11116.17,0,452.92,0
neuron10k_v3,18018.6597,5:00:18,16805.83,19997.68,16803.79,16803.85,17212.13,554.32,0
pbmc10k_v3,26078.38,7:14:38,17524.25,27626.68,17522.08,17522.15,48309.1,511.19,0
pbmc1k_v3,2216.2516,0:36:56,6045.87,9901.18,6043.64,6043.71,4805.46,92.88,0
SRR6956073_v2,1335.7323,0:22:15,6080.75,7904.68,6079.26,6079.31,4781.94,159.65,0
SRR6998058_v2,656.6066,0:10:56,4234.39,7587.68,4229.29,4230.79,4164.39,38.71,0
SRR7299563_v2,829.5858,0:13:49,3586.96,5096.68,3584.77,3584.81,1119.62,76.39,0
SRR8206317_v2,2125.5091,0:35:25,7401.81,10527.68,7396.63,7398.14,5386.2,150.22,0
SRR8257100_v2,3522.7863,0:58:42,14437.41,16721.18,14432.3,14433.8,20149.27,448.73,0
SRR8327928_v2,6310.307,1:45:10,11508.08,15184.68,11502.93,11504.45,18253.51,232.58,0
SRR8513910_v2,882.6752,0:14:42,2742.24,4157.18,2736.85,2738.49,17119.48,57.21,0
SRR8524760_v2,1501.4318,0:25:01,5938.61,9036.68,5933.64,5935.15,7950.61,63.18,0
SRR8599150_v2,253.3413,0:04:13,3855.64,6397.18,3850.71,3852.21,903.98,31.07,0
SRR8611943_v2,934.9972,0:15:34,2962.25,4061.18,2957.17,2958.68,2298.07,124.8,0
SRR8639063_v2,3209.9549,0:53:29,16370.77,19843.18,16365.71,16367.23,24190.43,94.08,0
