ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,2706.1565,0:45:06,9785.95,13537.69,9783.64,9783.7,42655.82,45.63,0
heart1k_v2,514.8216,0:08:34,4281.44,6770.19,4279.2,4279.26,8444.6,2.76,0
heart1k_v3,537.8713,0:08:57,4784.17,7346.19,4781.91,4781.97,5546.89,7.75,0
hgmm10k_v3,4286.459,1:11:26,22832.71,33186.68,22830.48,22830.53,49379.15,127.15,0
hgmm1k_v2,549.3987,0:09:09,9611.81,14010.18,9609.56,9609.62,11235.17,14.88,0
hgmm1k_v3,355.4096,0:05:55,8974.62,13719.19,8972.36,8972.42,4231.46,10.53,0
neuron10k_v3,2132.5632,0:35:32,14286.52,19573.68,14284.27,14284.33,23345.79,105.66,0
pbmc10k_v3,6476.6525,1:47:56,16857.79,29426.68,16855.57,16855.63,48314.36,100.73,0
pbmc1k_v3,786.2688,0:13:06,5420.34,8953.18,5418.1,5418.16,4805.45,5.86,0
SRR6956073_v2,432.4565,0:07:12,4278.46,5953.69,4276.2,4276.25,12701.82,1.24,0
SRR6998058_v2,431.544,0:07:11,4341.68,7479.68,4338.78,4338.83,4164.39,0.01,0
SRR7299563_v2,348.3118,0:05:48,3576.59,5101.18,3574.27,3574.33,11024.41,16.88,0
SRR8206317_v2,273.4579,0:04:33,7342.71,10348.69,7340.43,7340.48,5386.05,40.46,0
SRR8257100_v2,725.2392,0:12:05,6719.02,8067.18,6716.78,6716.83,20150.14,39.21,0
SRR8327928_v2,1625.6054,0:27:05,11068.87,15242.69,11066.62,11066.67,18253.38,74.44,0
SRR8513910_v2,550.0818,0:09:10,2363.78,3653.18,2361.52,2361.57,17120.15,0.01,0
SRR8524760_v2,697.4946,0:11:37,5843.77,8956.68,5841.54,5841.59,7932.86,11.91,0
SRR8599150_v2,86.2981,0:01:26,3779.55,6168.19,3777.31,3777.36,903.97,5.8,0
SRR8611943_v2,93.4737,0:01:33,2122.86,3045.18,2120.62,2120.67,2265.09,0.01,0
SRR8639063_v2,3177.2819,0:52:57,16418.92,19811.19,16416.7,16416.75,24190.17,94.21,0
