ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,2342.1818,0:39:02,27416.22,28106.42,27410.75,27410.94,25494.9,128819.17,0
heart1k_v2,584.1149,0:09:44,27416.18,28106.41,27410.66,27410.77,0,29729.34,0
heart1k_v3,537.5201,0:08:57,27808.96,28504.1,27802.34,27803.01,0.32,29981.71,0
hgmm10k_v3,4934.6724,1:22:14,55597.48,56292.6,55591.97,55592.09,44691.58,252273.95,0
hgmm1k_v2,680.6428,0:11:20,55204.79,55895.03,55199.27,55199.38,53052.95,25119.38,0
hgmm1k_v3,482.1268,0:08:02,55597.45,56292.6,55590.77,55591.46,0,20522.98,0
neuron10k_v3,1782.1444,0:29:42,27808.99,28504.11,27803.51,27803.63,25480.41,120835.63,0
pbmc10k_v3,4034.8824,1:07:14,30595.88,31290.97,30590.4,30590.49,50693.33,197744.14,0
pbmc1k_v3,561.1173,0:09:21,30595.87,31290.98,30590.39,30590.47,28157.22,19338.33,0
SRR6956073_v2,863.7674,0:14:23,10201.05,10891.25,10194.36,10194.93,0,28884.76,0
SRR6998058_v2,295.1366,0:04:55,27210.41,28080.66,27204.93,27205.05,0.07,12325.07,0
SRR7299563_v2,655.9535,0:10:55,18341.78,19032.02,18336.3,18336.42,16438.59,31812.95,0
SRR8206317_v2,564.8381,0:09:24,27416.15,28106.42,27410.68,27410.8,0,32602.83,0
SRR8257100_v2,2089.1233,0:34:49,4666.3,5356.57,4659.62,4660.19,2783.32,55178,0
SRR8327928_v2,1460.7757,0:24:20,30203.07,30893.28,30197.59,30197.71,28292.03,56168.63,0
SRR8513910_v2,1240.0095,0:20:40,5192.81,5883.02,5187.33,5187.44,3325.38,41491.74,0
SRR8524760_v2,663.8919,0:11:03,30203.05,30893.27,30196.38,30197.05,28290.43,32411.77,0
SRR8599150_v2,151.2869,0:02:31,27210.39,28080.66,27204.18,27204.66,0,914.48,0
SRR8611943_v2,208.4357,0:03:28,4248.07,5118.41,4241.85,4242.33,2584.66,3264.5,0
SRR8639063_v2,2269.6196,0:37:49,27416.18,28106.42,27410.71,27410.83,15.16,134746.29,0
