GO.ID,Term,Annotated,Significant,Expected,raw.p.value,ontology,p_bon,uniform_log,p_log,rank,label,upper,lower,dataset
GO:0022625,cytosolic large ribosomal subunit,58,7,0.86,2.1e-5,CC,0.001449,4.614222059298785,2.8389316145288253,1,,5.909766229169709,3.7463365449986,SRR6998058_v2
GO:0044334,canonical Wnt signaling pathway involved...,2,2,0.03,2e-4,BP,0.013800000000000002,4.137100804579123,1.8601209135987635,2,,4.928993286968054,3.567257016563244,SRR6998058_v2
GO:0045672,positive regulation of osteoclast differ...,24,4,0.35,3.4e-4,BP,0.02346,3.9152520549627665,1.6296719922204896,3,,4.521716932284397,3.4544281466833726,SRR6998058_v2
GO:0010909,positive regulation of heparan sulfate p...,3,2,0.04,6e-4,BP,0.0414,3.7691240192845283,1.3829996588791011,4,,4.2757990414587494,3.3703884188123387,SRR6998058_v2
GO:0045121,membrane raft,247,12,3.67,6e-4,CC,0.0414,3.6599795498594605,1.3829996588791011,5,,4.102718319486972,3.30289063094634,SRR6998058_v2
GO:0070369,beta-catenin-TCF7L2 complex,3,2,0.04,6.4e-4,CC,0.044160000000000005,3.5728293741405603,1.3549709352788575,6,,3.9703660619580137,3.2462536860940228,SRR6998058_v2
GO:0060789,hair follicle placode formation,4,2,0.06,0.00119,BP,0.08211,3.5002787069919488,1.085603947870214,7,,3.8637783072840493,3.1973409111793316,SRR6998058_v2
GO:0097452,GAIT complex,4,2,0.06,0.00126,CC,0.08694,3.438130800243104,1.0607803641451818,8,,3.7748533893640412,3.154224604312077,SRR6998058_v2
GO:0003735,structural constituent of ribosome,147,8,2.2,0.0015,MF,0.10350000000000001,3.3837731379205116,0.9850596502070634,9,,3.698741832034381,3.1156299396059834,SRR6998058_v2
GO:0048660,regulation of smooth muscle cell prolife...,118,4,1.71,0.00196,BP,0.13524,3.3354684583459564,0.8688948379062686,10,,3.632323851741417,3.0806674380357935,SRR6998058_v2
GO:1904948,midbrain dopaminergic neuron differentia...,5,2,0.07,0.00197,BP,0.13593,3.292002764564866,0.8666846831011518,11,,3.5734803266213477,3.0486905145854717,SRR6998058_v2
GO:0006798,polyphosphate catabolic process,5,2,0.07,0.00197,BP,0.13593,3.2524942232811926,0.8666846831011518,12,,3.520709412310933,3.0192136553061037,SRR6998058_v2
GO:0031224,intrinsic component of membrane,2676,42,39.78,0.00206,CC,0.14214000000000002,3.2162820506267478,0.8472836888935913,13,,3.4729098278753203,2.991862565646734,SRR6998058_v2
GO:0031698,beta-2 adrenergic receptor binding,5,2,0.07,0.0021,MF,0.1449,3.182858295139798,0.8389316145288255,14,,3.4292511094075473,2.9663423269946514,SRR6998058_v2
GO:0048026,"positive regulation of mRNA splicing, vi...",20,3,0.29,0.00273,BP,0.18836999999999998,3.151824061399829,0.7249882622219886,15,,3.3890922045153253,2.942416250742685,SRR6998058_v2
GO:0016188,synaptic vesicle maturation,7,2,0.1,0.00406,BP,0.28014,3.1228603654645126,0.5526248756855505,16,,3.3519283672300824,2.919891372261567,SRR6998058_v2
GO:0009954,proximal/distal pattern formation,7,2,0.1,0.00406,BP,0.28014,3.0957081194208977,0.5526248756855505,17,,3.317355354918215,2.8986082211209934,SRR6998058_v2
GO:0034375,high-density lipoprotein particle remode...,7,2,0.1,0.00406,BP,0.28014,3.0701540149485096,0.5526248756855505,18,,3.2850445995704884,2.878433433356405,SRR6998058_v2
GO:0030027,lamellipodium,142,7,2.11,0.00496,CC,0.34224,3.0460203352317903,0.46566923277254724,19,,3.254725563721467,2.859254304633702,SRR6998058_v2
