ID,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load
EMTAB7320_v2,1199.8762,0:19:59,2.98,220.73,0.73,0.76,42289.98,78.77,0
heart1k_v2,179.2501,0:02:59,2.98,220.73,0.73,0.75,5366.95,0,0
heart1k_v3,172.5408,0:02:52,2.99,220.73,0.73,0.76,5380.52,0,0
hgmm10k_v3,1587.5992,0:26:27,3.02,220.73,0.73,0.76,49111.47,535.31,0
hgmm1k_v2,161.4742,0:02:41,2.99,220.73,0.73,0.76,4230.79,11.63,0
hgmm1k_v3,134.1158,0:02:14,2.98,220.73,0.73,0.76,3393.29,5.5,0
neuron10k_v3,757.4404,0:12:37,2.99,220.73,0.73,0.76,22771.28,11.06,0
pbmc10k_v3,1396.9626,0:23:16,3.02,220.73,0.73,0.76,44169.16,33.5,0
pbmc1k_v3,140.7343,0:02:20,2.98,220.73,0.7,0.74,4683.15,0,0
SRR6956073_v2,296.7755,0:04:56,2.99,220.74,0.73,0.76,10730.41,0,0
SRR6998058_v2,109.6389,0:01:49,2.99,220.73,0.73,0.76,4056.5,0,0
SRR7299563_v2,316.2492,0:05:16,3.02,220.73,0.73,0.76,9107.52,0,0
SRR8206317_v2,159.6467,0:02:39,2.98,220.73,0.68,0.73,4575.21,54.92,0
SRR8257100_v2,535.0286,0:08:55,2.98,220.73,0.73,0.76,18804.94,0,0
SRR8327928_v2,507.2315,0:08:27,3,220.73,0.74,0.77,17895.45,13.7,0
SRR8513910_v2,460.8943,0:07:40,3,220.73,0.73,0.75,15280.54,0,0
SRR8524760_v2,241.064,0:04:01,3,220.73,0.74,0.77,6857.86,43.44,0
SRR8599150_v2,34.2791,0:00:34,2.98,220.73,0.7,0.74,468.07,0,0
SRR8611943_v2,54.5309,0:00:54,2.99,220.73,0.71,0.75,1318.33,0,0
SRR8639063_v2,913.8945,0:15:13,3.01,220.73,0.73,0.76,23383.98,55.84,0
